MT-ND6,YP_003024037,None
ACP6,NP_057445,NM_016361.5
BOLA1,NP_057158,NM_016074.5
MRPS21,NP_061870,NM_018997.4
MRPS21,NP_114107,NM_031901.6
MCL1,NP_001184249,NM_001197320.2
MCL1,NP_068779,NM_021960.5
MCL1,NP_877495,NM_182763.3
TDRKH,NP_001077434,NM_001083965.2
TDRKH,NP_001077433,NM_001083964.1
TDRKH,NP_001077432,NM_001083963.1
TDRKH,NP_006853,NM_006862.4
MRPL9,NP_113608,NM_031420.4
THEM4,NP_444283,NM_053055.5
THEM5,NP_872384,NM_182578.4
FLAD1,NP_079483,NM_025207.5
FLAD1,NP_001171820,NM_001184891.2
FLAD1,NP_001171821,NM_001184892.2
FLAD1,NP_958800,NM_201398.3
MTX1,NP_002446,NM_002455.5
MTX1,NP_942584,NM_198883.3
FDPS,NP_001129294,NM_001135822.2
FDPS,NP_001229753,NM_001242824.2
FDPS,NP_001995,NM_002004.4
FDPS,NP_001129293,NM_001135821.2
FDPS,NP_001229754,NM_001242825.2
DAP3,NP_004623,NM_004632.4
DAP3,NP_001186780,NM_001199851.1
DAP3,NP_001186778,NM_001199849.1
DAP3,NP_387506,NM_033657.2
DAP3,NP_001186779,NM_001199850.1
SLC25A44,NP_055470,NM_014655.4
SLC25A44,NP_001273113,NM_001286184.2
NAXE,NP_658985,NM_144772.3
MRPL24,NP_078816,NM_024540.4
MRPL24,NP_663781,NM_145729.3
TSTD1,NP_001106678,NM_001113207.2
TSTD1,NP_001106677,NM_001113206.2
TSTD1,NP_001106676,NM_001113205.2
NIT1,NP_001172021,NM_001185092.2
NIT1,NP_001172023,NM_001185094.2
NIT1,NP_001172022,NM_001185093.2
PPOX,NP_000300,NM_000309.5
NIT1,NP_005591,NM_005600.3
NDUFS2,NP_001159631,NM_001166159.2
NDUFS2,NP_004541,NM_004550.5
TOMM40L,NP_115550,NM_032174.6
TOMM40L,NP_001273303,NM_001286374.2
TOMM40L,NP_001273302,NM_001286373.2
PPOX,NP_001116236,NM_001122764.3
SDHC,NP_002992,NM_003001.5
SDHC,NP_001030588,NM_001035511.3
SDHC,NP_001265101,NM_001278172.3
SDHC,NP_001030590,NM_001035513.3
SDHC,NP_001030589,NM_001035512.3
ALDH9A1,NP_000687,NM_000696.4
MGST3,NP_004519,NM_004528.4
ADCY10,NP_060887,NM_018417.6
ADCY10,NP_001161221,NM_001167749.3
PRDX6,NP_004896,NM_004905.3
MRPS14,NP_071383,NM_022100.3
TIMM17A,NP_006326,NM_006335.3
ANGEL2,NP_653168,NM_144567.5
LYPLAL1,NP_620149,NM_138794.5
IARS2,NP_060530,NM_018060.4
MTARC2,NP_060368,NM_017898.5
PYCR2,NP_037460,NM_013328.4
PYCR2,NP_001258610,NM_001271681.2
MRPL55,NP_852121,NM_181456.3
MRPL55,NP_852120,NM_181455.3
MRPL55,NP_852119,NM_181454.3
MRPL55,NP_852106,NM_181441.3
MRPL55,NP_852129,NM_181464.3
MRPL55,NP_852130,NM_181465.3
MRPL55,NP_852128,NM_181463.3
MRPL55,NP_852127,NM_181462.3
GUK1,NP_001229768,NM_001242839.1
GUK1,NP_001152863,NM_001159391.3
GUK1,NP_000849,NM_000858.7
GUK1,NP_001152862,NM_001159390.2
GUK1,NP_001229769,NM_001242840.3
IBA57,NP_001010867,NM_001010867.4
ABCB10,NP_036221,NM_012089.3
COA6,NP_001193570,NM_001206641.3
COA6,NP_001013003,NM_001012985.2
FH,NP_000134,NM_000143.4
COX20,NP_932342,NM_198076.6
TFB2M,NP_071761,NM_022366.3
PNKD,NP_056303,NM_015488.5
HADHB,NP_001268441,NM_001281512.2
HADHB,NP_000174,NM_000183.3
HADHB,NP_001268442,NM_001281513.2
PREPL,NP_001165074,NM_001171603.1
PREPL,NP_006027,NM_006036.4
PREPL,NP_001035845,NM_001042386.2
PREPL,NP_001165088,NM_001171617.1
LRPPRC,NP_573566,NM_133259.4
PREPL,NP_001035844,NM_001042385.2
PREPL,NP_001165084,NM_001171613.2
PREPL,NP_001165077,NM_001171606.2
SFXN5,NP_653180,NM_144579.3
SUCLG1,NP_003840,NM_003849.4
IMMT,NP_001093640,NM_001100170.2
IMMT,NP_006830,NM_006839.3
IMMT,NP_001093639,NM_001100169.2
RPIA,NP_653164,NM_144563.3
FAHD2A,NP_057128,NM_016044.3
STARD7,NP_064536,NM_020151.4
COA5,NP_001008216,NM_001008215.3
GPD2,NP_001076581,NM_001083112.3
GPD2,NP_000399,NM_000408.5
FASTKD1,NP_078898,NM_024622.6
FASTKD1,NP_001268405,NM_001281476.3
METTL8,NP_079046,NM_024770.5
METAP1D,NP_954697,NM_199227.3
GLS,NP_055720,NM_014905.5
HIBCH,NP_055177,NM_014362.4
GLS,NP_001243239,NM_001256310.2
HIBCH,NP_932164,NM_198047.3
CASP8,NP_203522,NM_033358.4
CASP8,NP_001219,NM_001228.5
CASP8,NP_203519,NM_033355.4
CASP8,NP_001073593,NM_001080124.2
CPS1,NP_001116105,NM_001122633.3
CYP27A1,NP_000775,NM_000784.4
MFF,NP_001263991,NM_001277062.2
MFF,NP_001263996,NM_001277067.1
MFF,NP_064579,NM_020194.5
MFF,NP_001263994,NM_001277065.2
MFF,NP_001263993,NM_001277064.2
MFF,NP_001263992,NM_001277063.2
MFF,NP_001263990,NM_001277061.2
MFF,NP_001263995,NM_001277066.2
MFF,NP_001263997,NM_001277068.1
SPHKAP,NP_001136116,NM_001142644.2
SPHKAP,NP_085126,NM_030623.4
NDUFA10,NP_004535,NM_004544.4
RNASEH1,NP_001273766,NM_001286837.3
RNASEH1,NP_001273763,NM_001286834.3
RNASEH1,NP_002927,NM_002936.6
CMPK2,NP_001243407,NM_001256478.1
CMPK2,NP_997198,NM_207315.4
CMPK2,NP_001243406,NM_001256477.1
RDH14,NP_065956,NM_020905.4
HADHA,NP_000173,NM_000182.5
MPV17,NP_002428,NM_002437.5
MRPL33,NP_004882,NM_004891.4
MRPL33,NP_663303,NM_145330.3
TRMT61B,NP_060380,NM_017910.4
NDUFAF7,NP_653337,NM_144736.5
NDUFAF7,NP_001077415,NM_001083946.2
COX7A2L,NP_004709,NM_004718.4
MTIF2,NP_002444,NM_002453.3
MTIF2,NP_001005369,NM_001005369.1
PNPT1,NP_149100,NM_033109.5
NFU1,NP_001002755,NM_001002755.4
NFU1,NP_056515,NM_015700.4
NFU1,NP_001002756,NM_001002756.2
FAM136A,NP_116211,NM_032822.3
MCEE,NP_115990,NM_032601.4
SPR,NP_003115,NM_003124.5
DGUOK,NP_550440,NM_080918.3
DGUOK,NP_550438,NM_080916.3
